2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104625
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104626
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104627
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104628
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104629
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104630
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104631
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104632
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104633
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104634
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104635
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104636
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104637
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104638
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104639
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104640
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104641
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104642
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104643
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104644
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104645
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104646
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104647
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104648
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104649
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104650
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104651
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104652
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104653
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106250
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106251
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106252
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106253
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106254
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106255
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106256
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106257
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106258
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106259
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106260
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [1] at offset 106261
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104654
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
2026-01-12 00:55:33 | INFO     | kafka_producer | deliver_callback:13 | Message delivered to data-output-topic [0] at offset 104655
2026-01-12 00:55:33 | INFO     | kafka_producer | send_message:41 | Messages sent to topic data-output-topic: 1 items
